State,Abbr,Division,Region,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto,Unemploy,Police,InSchool
ALABAMA,AL,MS,South,11.6,33,144,521,1103,2755,348,7.2,23.3,89.2
ALASKA,AK,P,West,7.5,73,77,367,894,3168,565,8.5,29.8,99.3
ARIZONA,AZ,MT,West,7.7,41,161,443,1670,4703,863,5.7,29.3,90.6
ARKANSAS,AR,SW,South,10.3,43,113,365,1211,2834,289,7.3,20.0,91.4
CALIFORNIA,CA,P,West,11.9,43,377,614,1345,3198,1016,7.5,28.2,91.3
COLORADO,CO,MT,West,4.2,46,91,385,1209,3891,428,5.0,27.1,93.5
CONNECTICUT,CT,NE,Northeast,5.1,28,235,286,1228,2874,731,6.7,28.9,86.8
DELAWARE,DE,SE,South,5.0,88,165,397,970,3291,444,6.2,26.8,82.2
FLORIDA,FL,SE,South,10.7,52,417,764,2171,4570,826,7.3,31.3,89.3
GEORGIA,GA,SE,South,11.8,54,263,427,1619,3714,674,5.0,26.1,87.6
HAWAII,HI,P,West,4.0,32,91,153,1228,4217,381,2.8,26.9,85.2
IDAHO,ID,MT,West,2.7,27,15,231,813,2803,165,6.1,24.3,95.5
ILLINOIS,IL,EM,Midwest,10.3,39,394,524,1063,3262,643,7.1,33.2,83.0
INDIANA,IN,EM,Midwest,6.2,38,101,328,943,2827,439,5.9,22.1,89.6
IOWA,IA,WM,Midwest,1.9,18,39,240,808,2823,170,4.6,20.2,92.2
KANSAS,KS,WM,Midwest,4.0,40,118,286,1167,3244,335,4.4,26.1,92.1
KENTUCKY,KY,MS,South,7.2,29,69,285,767,1943,199,7.4,19.7,88.1
LOUISIANA,LA,SW,South,17.2,42,270,569,1438,3549,602,7.1,27.4,86.0
MAINE,ME,NE,Northeast,2.4,20,25,96,823,2555,177,7.5,23.0,97.2
MARYLAND,MD,SE,South,11.5,46,364,498,1120,3083,709,5.9,30.4,87.0
MASSACHUSETTS,MA,NE,Northeast,4.0,34,217,481,1113,2525,924,9.0,30.4,89.0
MICHIGAN,MI,EM,Midwest,10.4,78,234,468,1143,3347,714,9.2,25.4,89.5
MINNESOTA,MN,WM,Midwest,2.7,34,93,177,907,2960,366,5.1,19.9,92.3
MISSISSIPPI,MS,MS,South,12.2,44,86,198,1251,2070,208,8.6,21.0,88.7
MISSOURI,MO,WM,Midwest,8.8,32,216,458,1066,2800,539,6.6,26.6,86.3
MONTANA,MT,MT,West,4.9,24,22,108,709,3391,243,6.9,22.5,95.7
NEBRASKA,NE,WM,Midwest,2.7,30,51,246,724,2981,178,2.7,22.6,88.8
NEVADA,NV,MT,West,9.7,62,238,291,1367,3503,593,5.5,38.9,97.8
NEW HAMPSHIRE,NH,NE,Northeast,1.9,35,27,68,735,2534,244,7.2,25.4,88.0
NEW JERSEY,NJ,MA,Northeast,5.6,30,301,311,1017,2843,940,6.6,39.5,83.7
NEW MEXICO,NM,MT,West,9.2,50,115,606,1739,3828,337,6.9,29.4,92.5
NEW YORK,NY,MA,Northeast,14.5,30,625,512,1161,2979,1043,7.2,37.0,84.3
NORTH CAROLINA,NC,SE,South,10.7,34,152,426,1530,3048,284,5.8,24.2,91.7
NORTH DAKOTA,ND,WM,Midwest,0.8,18,8,47,427,2289,133,4.1,19.5,91.3
OHIO,OH,EM,Midwest,6.1,47,189,265,983,2864,491,6.4,23.0,86.8
OKLAHOMA,OK,SW,South,8.0,47,122,370,1447,3002,602,6.7,26.6,93.5
OREGON,OR,P,West,3.8,47,144,312,1135,3545,459,6.0,22.3,93.9
PENNSYLVANIA,PA,MA,Northeast,6.7,26,176,222,729,1811,506,6.9,23.9,81.2
RHODE ISLAND,RI,NE,Northeast,4.8,25,122,280,1271,2695,954,8.5,28.2,83.8
SOUTH CAROLINA,SC,SE,South,11.2,54,152,759,1380,3302,386,6.2,24.0,89.3
SOUTH DAKOTA,SD,WM,Midwest,2.0,34,12,114,527,2109,110,3.4,21.0,90.9
TENNESSEE,TN,MS,South,10.5,50,191,419,1264,2545,574,6.6,23.4,89.6
TEXAS,TX,SW,South,14.1,52,261,435,1852,4305,909,6.6,25.2,95.8
UTAH,UT,MT,West,3.0,38,57,186,881,4258,238,4.9,21.3,95.9
VERMONT,VT,NE,Northeast,2.3,26,12,87,1087,2918,208,6.4,22.0,93.8
VIRGINIA,VA,SE,South,8.8,31,123,188,731,3031,327,5.8,23.5,94.8
WASHINGTON,WA,P,West,4.9,64,130,303,1263,4011,447,6.3,21.7,94.3
WEST VIRGINIA,WV,SE,South,5.7,24,38,102,657,1523,154,10.5,17.0,92.8
WISCONSIN,WI,EM,Midwest,4.6,21,113,127,751,2963,416,5.4,26.6,87.1
WYOMING,WY,MT,West,4.9,30,16,251,631,3129,149,5.1,34.1,97.2
