date,temp
1994-01-16,278.9
1994-02-16,280
1994-03-16,278.9
1994-04-16,278.9
1994-05-16,277.8
1994-06-16,276.1
1994-07-16,276.1
1994-08-16,275.6
1994-09-16,275.6
1994-10-16,277.3
1994-11-16,276.7
1994-12-16,278.9
1995-01-16,281.6
1995-02-16,281.1
1995-03-16,280
1995-04-16,278.9
1995-05-16,277.8
1995-06-16,276.7
1995-07-16,277.3
1995-08-16,276.1
1995-09-16,276.1
1995-10-16,276.7
1995-11-16,278.4
1995-12-16,277.8
1996-01-16,281.1
1996-02-16,283.2
1996-03-16,281.1
1996-04-16,279.5
1996-05-16,278.4
1996-06-16,276.7
1996-07-16,276.1
1996-08-16,275.6
1996-09-16,275.6
1996-10-16,276.1
1996-11-16,277.3
1996-12-16,278.9
1997-01-16,280.5
1997-02-16,281.6
1997-03-16,280
1997-04-16,278.9
1997-05-16,278.4
1997-06-16,276.7
1997-07-16,275.6
1997-08-16,275.6
1997-09-16,277.3
1997-10-16,276.7
1997-11-16,278.4
1997-12-16,279.5
1998-01-16,282.2
1998-02-16,281.6
1998-03-16,281.6
1998-04-16,280
1998-05-16,278.9
1998-06-16,277.3
1998-07-16,276.7
1998-08-16,276.1
1998-09-16,276.1
1998-10-16,276.1
1998-11-16,277.8
1998-12-16,277.3
1999-01-16,278.4
1999-02-16,284.2
1999-03-16,279.5
1999-04-16,277.3
1999-05-16,278.4
1999-06-16,275
1999-07-16,275.6
1999-08-16,274.4
1999-09-16,275.6
1999-10-16,276.7
1999-11-16,276.1
1999-12-16,278.4
2000-01-16,279.5
2000-02-16,279.5
2000-03-16,278.9
2000-04-16,277.8
2000-05-16,277.8
2000-06-16,275.6
2000-07-16,275.6
2000-08-16,275
2000-09-16,274.4
2000-10-16,275.6
2000-11-16,277.3
2000-12-16,278.4
2001-01-16,281.1
2001-02-16,283.2
2001-03-16,281.1
2001-04-16,279.5
2001-05-16,277.3
2001-06-16,276.7
2001-07-16,275.6
2001-08-16,274.4
2001-09-16,275
